The number of Constituents of vertex 0: is 56
    GenPart 134 pt: 0.99791, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 135 pt: 0.204649, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 136 pt: 0.506002, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 137 pt: 0.146654, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 138 pt: 1.11609, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 139 pt: 0.814022, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 140 pt: 0.326953, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 141 pt: 0.113404, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 142 pt: 0.69751, z: -83.9131, t: 2.23593e-11, PID: -2212, Status: 1, PU: 1
    GenPart 143 pt: 0.553913, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 144 pt: 0.294862, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 145 pt: 0.751723, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 146 pt: 0.792165, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 147 pt: 0.558279, z: -83.9131, t: 2.23593e-11, PID: 2212, Status: 1, PU: 1
    GenPart 148 pt: 0.114375, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 149 pt: 0.227548, z: -83.9131, t: 2.23593e-11, PID: 2212, Status: 1, PU: 1
    GenPart 150 pt: 0.270252, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 151 pt: 0.0738445, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 152 pt: 0.586878, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 153 pt: 0.863086, z: -83.9131, t: 2.23593e-11, PID: 321, Status: 1, PU: 1
    GenPart 154 pt: 0.339726, z: -83.9131, t: 2.23593e-11, PID: 321, Status: 1, PU: 1
    GenPart 155 pt: 0.213207, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 156 pt: 0.397269, z: -83.9131, t: 2.23593e-11, PID: -321, Status: 1, PU: 1
    GenPart 157 pt: 0.555889, z: -83.9131, t: 2.23593e-11, PID: -321, Status: 1, PU: 1
    GenPart 158 pt: 1.43643, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 159 pt: 1.69333, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 160 pt: 0.311405, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 161 pt: 0.0908103, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 162 pt: 0.236112, z: -83.9131, t: 2.23593e-11, PID: 321, Status: 1, PU: 1
    GenPart 163 pt: 0.590778, z: -83.9131, t: 2.23593e-11, PID: -321, Status: 1, PU: 1
    GenPart 164 pt: 0.686223, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 165 pt: 0.421212, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 166 pt: 0.071974, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 167 pt: 0.246514, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 168 pt: 0.473352, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 169 pt: 0.282032, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 170 pt: 0.16521, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 171 pt: 0.427873, z: -83.9131, t: 2.23593e-11, PID: 321, Status: 1, PU: 1
    GenPart 172 pt: 0.138511, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 173 pt: 0.695345, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 174 pt: 0.273121, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 175 pt: 0.434678, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 176 pt: 0.126563, z: -83.9131, t: 2.23593e-11, PID: -321, Status: 1, PU: 1
    GenPart 177 pt: 0.347537, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 178 pt: 0.39991, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 179 pt: 0.220235, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
